Date,Colombo_Temp_C,Colombo_Precip_mm
2023-01-01,24.7,0.0
2023-01-02,24.9,0.0
2023-01-03,25.6,0.1
2023-01-04,25.7,0.0
2023-01-05,26.3,1.2
2023-01-06,25.1,8.2
2023-01-07,25.0,12.4
2023-01-08,25.7,3.4
2023-01-09,26.0,0.0
2023-01-10,25.1,0.0
2023-01-11,24.8,0.0
2023-01-12,24.8,0.0
2023-01-13,24.5,0.0
2023-01-14,25.4,0.0
2023-01-15,24.8,1.3
2023-01-16,24.8,8.9
2023-01-17,24.8,5.1
2023-01-18,25.4,0.1
2023-01-19,25.3,0.0
2023-01-20,25.6,0.0
2023-01-21,25.3,0.8
2023-01-22,25.1,1.9
2023-01-23,24.9,16.7
2023-01-24,24.2,13.8
2023-01-25,25.1,0.1
2023-01-26,25.1,0.5
2023-01-27,25.5,0.3
2023-01-28,25.6,0.0
2023-01-29,24.8,0.1
2023-01-30,24.8,5.7
2023-01-31,24.9,5.3
2023-02-01,25.1,3.1
2023-02-02,25.0,2.7
2023-02-03,24.7,5.3
2023-02-04,24.9,6.9
2023-02-05,25.9,0.5
2023-02-06,25.5,1.0
2023-02-07,25.3,4.8
2023-02-08,26.1,0.2
2023-02-09,25.6,0.2
2023-02-10,25.7,0.3
2023-02-11,25.3,0.0
2023-02-12,25.4,0.0
2023-02-13,25.4,0.2
2023-02-14,25.5,0.8
2023-02-15,25.9,0.0
2023-02-16,25.3,0.0
2023-02-17,26.0,0.0
2023-02-18,27.1,0.0
2023-02-19,25.7,9.7
2023-02-20,25.1,10.4
2023-02-21,25.3,3.1
2023-02-22,25.5,0.1
2023-02-23,25.4,1.1
2023-02-24,25.7,0.9
2023-02-25,26.1,7.3
2023-02-26,25.5,0.0
2023-02-27,26.0,0.1
2023-02-28,25.9,8.6
2023-03-01,25.6,4.7
2023-03-02,26.2,0.0
2023-03-03,26.5,2.8
2023-03-04,25.8,19.4
2023-03-05,26.1,2.1
2023-03-06,25.9,8.1
2023-03-07,26.0,7.9
2023-03-08,26.6,1.7
2023-03-09,26.6,0.3
2023-03-10,26.2,1.4
2023-03-11,26.0,12.5
2023-03-12,26.0,16.3
2023-03-13,26.0,11.4
2023-03-14,26.0,3.2
2023-03-15,26.5,2.7
2023-03-16,25.8,2.6
2023-03-17,26.5,0.8
2023-03-18,26.7,8.9
2023-03-19,26.2,4.6
2023-03-20,25.9,10.0
2023-03-21,26.7,3.1
2023-03-22,26.8,0.8
2023-03-23,26.1,5.1
2023-03-24,26.5,0.5
2023-03-25,26.7,0.6
2023-03-26,26.9,2.4
2023-03-27,27.2,0.2
2023-03-28,27.3,2.5
2023-03-29,27.3,1.8
2023-03-30,26.9,1.7
2023-03-31,27.1,1.1
2023-04-01,26.9,0.5
2023-04-02,27.1,0.3
2023-04-03,27.1,3.2
2023-04-04,26.2,2.5
2023-04-05,27.0,0.8
2023-04-06,27.1,1.6
2023-04-07,27.2,2.7
2023-04-08,26.1,5.4
2023-04-09,27.3,0.0
2023-04-10,27.6,1.5
2023-04-11,27.7,0.0
2023-04-12,27.8,0.7
2023-04-13,27.9,0.9
2023-04-14,27.3,3.5
2023-04-15,27.3,3.9
2023-04-16,27.2,4.0
2023-04-17,28.3,0.5
2023-04-18,28.5,0.9
2023-04-19,28.7,1.4
2023-04-20,28.0,2.8
2023-04-21,27.8,0.9
2023-04-22,28.2,1.8
2023-04-23,28.6,2.4
2023-04-24,27.3,18.7
2023-04-25,27.0,2.2
2023-04-26,26.7,15.9
2023-04-27,26.9,2.7
2023-04-28,26.2,24.6
2023-04-29,25.9,22.1
2023-04-30,26.4,9.8
2023-05-01,26.1,27.0
2023-05-02,26.5,9.1
2023-05-03,26.0,28.1
2023-05-04,26.7,30.5
2023-05-05,26.2,10.4
2023-05-06,26.4,13.0
2023-05-07,26.7,12.6
2023-05-08,27.2,11.3
2023-05-09,26.6,13.0
2023-05-10,26.7,9.7
2023-05-11,26.6,8.2
2023-05-12,27.3,5.6
2023-05-13,27.8,7.7
2023-05-14,27.5,4.2
2023-05-15,28.5,3.5
2023-05-16,28.5,3.9
2023-05-17,28.5,5.0
2023-05-18,27.7,3.1
2023-05-19,27.3,1.1
2023-05-20,27.1,2.9
2023-05-21,27.0,3.2
2023-05-22,27.1,2.2
2023-05-23,27.6,0.5
2023-05-24,27.9,0.7
2023-05-25,28.2,0.6
2023-05-26,28.4,4.7
2023-05-27,27.9,4.7
2023-05-28,27.8,3.1
2023-05-29,28.0,3.0
2023-05-30,27.1,2.5
2023-05-31,27.5,3.2
2023-06-01,26.6,10.1
2023-06-02,26.9,3.3
2023-06-03,27.6,8.8
2023-06-04,27.0,6.6
2023-06-05,26.5,9.5
2023-06-06,27.1,12.5
2023-06-07,27.0,11.7
2023-06-08,27.4,7.8
2023-06-09,27.2,5.9
2023-06-10,27.2,8.4
2023-06-11,27.4,11.7
2023-06-12,27.1,15.5
2023-06-13,26.9,19.3
2023-06-14,27.1,18.9
2023-06-15,27.7,8.6
2023-06-16,28.1,9.3
2023-06-17,27.7,6.7
2023-06-18,27.6,8.6
2023-06-19,27.7,3.9
2023-06-20,27.0,9.5
2023-06-21,25.9,23.3
