date,_SriLankatravel,_SriLankaflights,_SriLankaVisa,RU_Шри-Ланкатур,RU_авиабилетыКоломбо,GB_SriLankaholidays,GB_SriLankaETA,DE_SriLankaUrlaub,DE_FlügeColombo,IN_SriLankatourpackage,IN_Colomboflight
2023-01-01,14,11,24,88,0,84,0,88,12,10,26
2023-01-08,13,10,25,0,0,81,0,100,11,10,25
2023-01-15,12,10,23,0,0,50,0,87,12,9,30
2023-01-22,12,8,23,0,0,57,0,70,13,7,25
2023-01-29,12,9,23,0,0,58,0,67,10,11,28
2023-02-05,11,9,22,0,0,48,0,70,0,8,22
2023-02-12,10,8,22,0,0,51,0,54,12,7,23
2023-02-19,11,8,23,0,0,53,0,58,0,11,26
2023-02-26,11,8,22,0,0,48,0,56,10,10,22
2023-03-05,11,9,23,0,0,57,0,60,0,11,29
2023-03-12,10,9,21,0,0,53,0,79,0,9,23
2023-03-19,10,10,23,0,0,54,0,88,0,13,24
2023-03-26,10,8,22,0,0,49,0,72,0,7,25
2023-04-02,11,10,22,0,0,53,0,56,0,9,26
2023-04-09,10,8,20,0,0,55,0,60,0,13,33
2023-04-16,10,8,21,0,0,48,0,63,0,9,25
2023-04-23,10,8,22,0,0,40,0,42,15,12,33
2023-04-30,10,8,21,0,0,51,0,52,0,11,30
2023-05-07,10,8,25,0,0,53,0,38,0,11,28
2023-05-14,10,8,24,0,0,66,0,47,0,9,30
2023-05-21,9,8,24,0,0,68,0,36,0,16,25
2023-05-28,10,7,23,0,0,56,0,51,0,15,31
2023-06-04,9,8,25,0,0,43,10,44,0,11,37
2023-06-11,11,8,28,0,0,59,0,45,0,16,35
2023-06-18,11,8,25,0,0,41,9,38,12,16,39
2023-06-25,10,9,23,0,0,51,0,51,0,13,39
2023-07-02,11,9,27,0,0,49,0,49,0,14,33
2023-07-09,11,10,26,0,0,46,0,41,0,14,30
2023-07-16,11,10,30,0,0,37,9,45,0,7,30
2023-07-23,11,8,30,0,0,51,0,52,0,12,34
2023-07-30,10,9,28,0,0,54,9,52,0,12,33
2023-08-06,11,8,26,0,0,51,0,50,0,11,35
2023-08-13,11,8,26,0,0,56,0,59,19,10,36
2023-08-20,10,8,25,0,0,53,0,48,0,10,25
2023-08-27,10,8,29,0,0,51,0,50,0,10,47
2023-09-03,11,9,29,0,0,74,0,54,0,13,50
2023-09-10,12,10,32,0,0,47,0,71,0,11,77
2023-09-17,11,9,28,0,0,53,0,48,0,15,52
2023-09-24,11,8,25,0,0,43,0,55,0,13,37
2023-10-01,11,8,28,0,0,42,0,39,0,13,33
2023-10-08,11,8,28,0,0,45,9,52,13,10,32
2023-10-15,12,8,26,0,0,43,12,58,0,15,35
2023-10-22,12,9,43,0,0,49,0,55,0,19,63
2023-10-29,12,10,33,0,0,43,0,61,12,18,51
2023-11-05,11,9,30,0,0,44,0,69,12,7,45
2023-11-12,10,9,27,0,0,49,0,55,0,18,44
2023-11-19,12,9,29,0,0,34,0,62,10,13,45
2023-11-26,11,9,29,0,0,42,0,55,13,17,49
2023-12-03,11,8,28,0,0,45,0,50,0,13,41
2023-12-10,11,9,29,0,0,53,11,61,0,13,43
2023-12-17,11,10,28,0,0,43,0,61,0,16,44
2023-12-24,12,11,26,0,0,74,0,79,0,14,40
2023-12-31,14,12,29,0,0,86,9,91,18,15,49
2024-01-07,15,12,32,0,0,89,20,84,18,12,34
2024-01-14,13,11,31,0,0,77,0,76,16,10,37
2024-01-21,13,10,29,0,0,68,9,68,10,9,38
2024-01-28,14,10,29,0,0,63,0,64,0,9,39
2024-02-04,14,12,30,0,0,80,0,46,17,14,36
2024-02-11,12,11,28,0,0,67,0,45,0,14,34
2024-02-18,13,9,28,0,0,53,0,53,15,12,35
2024-02-25,11,10,29,0,0,44,9,41,0,10,31
2024-03-03,13,9,27,0,0,52,9,44,0,14,31
2024-03-10,12,9,27,0,0,53,0,44,0,11,33
2024-03-17,12,9,27,0,0,39,13,56,0,10,39
2024-03-24,12,10,27,0,0,56,10,43,0,11,33
2024-03-31,12,10,28,0,0,54,0,38,0,14,32
2024-04-07,10,9,25,0,0,59,0,41,0,6,37
2024-04-14,11,9,33,0,0,61,0,37,0,7,37
2024-04-21,11,9,35,0,0,48,0,29,0,9,39
2024-04-28,12,9,34,0,0,56,0,31,0,11,27
2024-05-05,11,9,34,0,0,46,0,29,0,7,34
2024-05-12,11,7,30,0,0,41,0,41,0,14,33
2024-05-19,11,8,27,0,0,32,0,27,0,10,36
