date,_SriLankatravel,_SriLankaflights,_SriLankaVisa,RU_Шри-Ланкатур,RU_авиабилетыКоломбо,GB_SriLankaholidays,GB_SriLankaETA,DE_SriLankaUrlaub,DE_FlügeColombo,IN_SriLankatourpackage,IN_Colomboflight
2023-01-01,4.62,3.41,14.4,0.0,0.0,37.8,0.0,45.76,5.52,0.0,15.34
2023-01-02,6.58,3.63,18.96,0.0,0.0,0.0,0.0,33.44,0.0,0.0,0.0
2023-01-03,8.12,4.51,22.8,0.0,0.0,49.56,0.0,47.52,0.0,0.0,11.96
2023-01-04,5.6,4.4,19.44,0.0,0.0,47.88,0.0,0.0,0.0,0.0,0.0
2023-01-05,6.16,4.84,18.96,0.0,0.0,42.84,0.0,0.0,0.0,0.0,0.0
2023-01-06,5.32,3.96,17.04,0.0,0.0,28.56,0.0,42.24,0.0,0.0,12.48
2023-01-07,7.14,3.19,17.04,0.0,0.0,55.44,0.0,41.36,0.0,0.0,0.0
2023-01-08,6.63,3.5,21.0,0.0,0.0,81.0,0.0,85.0,0.0,0.0,11.25
2023-01-09,5.59,3.1,22.5,0.0,0.0,31.59,0.0,49.0,0.0,0.0,10.0
2023-01-10,6.24,4.3,23.25,0.0,0.0,25.11,0.0,43.0,0.0,0.0,0.0
2023-01-11,5.2,3.4,21.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-12,5.07,2.4,22.25,0.0,0.0,25.92,0.0,0.0,0.0,0.0,0.0
2023-01-13,3.77,3.2,19.75,0.0,0.0,27.54,0.0,0.0,0.0,0.0,0.0
2023-01-14,4.29,1.8,15.5,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0
2023-01-15,5.52,4.6,17.94,0.0,0.0,22.5,0.0,87.0,0.0,0.0,15.3
2023-01-16,4.56,3.0,14.72,0.0,0.0,15.5,0.0,0.0,0.0,0.0,18.9
2023-01-17,4.8,3.0,20.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-18,3.36,2.1,14.72,0.0,0.0,18.0,0.0,56.55,0.0,0.0,0.0
2023-01-19,3.84,2.1,16.79,0.0,0.0,0.0,0.0,33.93,0.0,0.0,13.2
2023-01-20,3.48,2.5,19.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4
2023-01-21,4.56,2.6,14.95,0.0,0.0,0.0,0.0,49.59,0.0,0.0,15.9
2023-01-22,5.88,2.72,17.02,0.0,0.0,0.0,0.0,43.4,0.0,0.0,0.0
2023-01-23,4.32,2.72,16.1,0.0,0.0,19.38,0.0,0.0,0.0,0.0,0.0
2023-01-24,3.96,1.76,17.02,0.0,0.0,18.24,0.0,33.6,0.0,0.0,0.0
2023-01-25,4.68,1.28,16.56,0.0,0.0,18.81,0.0,0.0,0.0,0.0,0.0
2023-01-26,4.2,1.68,17.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-27,5.28,1.92,15.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
2023-01-28,3.36,2.72,14.72,0.0,0.0,23.94,0.0,0.0,0.0,0.0,10.5
2023-01-29,4.92,2.52,15.87,0.0,0.0,18.56,0.0,52.26,0.0,0.0,0.0
2023-01-30,4.44,2.16,17.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76
2023-01-31,3.72,2.34,15.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.24
2023-02-01,3.96,2.25,16.79,0.0,0.0,20.88,0.0,0.0,0.0,0.0,13.16
2023-02-02,4.2,2.79,15.64,0.0,0.0,21.46,0.0,0.0,0.0,0.0,0.0
2023-02-03,4.44,2.25,15.87,0.0,0.0,21.46,0.0,44.22,0.0,0.0,0.0
2023-02-04,4.2,2.25,15.64,0.0,0.0,19.14,0.0,0.0,0.0,0.0,12.04
2023-02-05,4.18,2.43,13.86,0.0,0.0,18.72,0.0,33.6,0.0,0.0,0.0
2023-02-06,3.85,2.52,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-07,3.19,2.52,15.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-08,3.85,3.15,16.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1
2023-02-09,4.18,1.89,15.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.02
2023-02-10,3.96,2.07,13.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.02
2023-02-11,3.3,2.61,12.54,0.0,0.0,17.28,0.0,51.8,0.0,0.0,0.0
2023-02-12,2.9,1.52,13.86,0.0,0.0,0.0,0.0,36.18,0.0,0.0,0.0
2023-02-13,3.7,1.92,16.5,0.0,0.0,0.0,0.0,28.62,0.0,0.0,10.35
2023-02-14,2.7,2.0,15.18,0.0,0.0,0.0,0.0,23.22,0.0,0.0,0.0
2023-02-15,3.5,2.24,15.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-16,2.4,2.72,14.96,0.0,0.0,22.95,0.0,0.0,0.0,0.0,9.89
2023-02-17,2.0,1.92,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-18,3.7,2.0,14.08,0.0,0.0,19.38,0.0,21.6,0.0,0.0,0.0
2023-02-19,4.62,2.48,16.56,0.0,0.0,0.0,0.0,26.1,0.0,0.0,12.22
2023-02-20,3.52,2.24,18.86,0.0,0.0,15.9,0.0,33.64,0.0,0.0,0.0
2023-02-21,3.41,1.76,17.48,0.0,0.0,0.0,0.0,22.04,0.0,0.0,10.14
2023-02-22,3.19,1.84,18.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-23,3.41,1.6,15.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-24,3.52,2.32,15.64,0.0,0.0,17.49,0.0,26.68,0.0,0.0,11.7
2023-02-25,4.4,1.76,15.41,0.0,0.0,19.08,0.0,0.0,0.0,0.0,0.0
2023-02-26,4.51,2.72,13.42,0.0,0.0,0.0,0.0,29.68,0.0,0.0,0.0
2023-02-27,3.63,1.92,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-28,4.07,2.4,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01,3.63,2.0,16.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.08
2023-03-02,3.96,1.84,13.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.88
2023-03-03,3.19,2.0,14.3,0.0,0.0,16.32,0.0,0.0,0.0,0.0,0.0
2023-03-04,3.85,2.0,13.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-05,4.51,3.42,14.49,0.0,0.0,33.63,0.0,30.0,0.0,0.0,0.0
2023-03-06,2.64,2.43,15.41,0.0,0.0,18.81,0.0,0.0,0.0,0.0,0.0
2023-03-07,3.41,2.7,16.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-08,3.63,2.07,15.64,0.0,0.0,29.07,0.0,24.6,0.0,0.0,0.0
2023-03-09,3.96,2.61,18.86,0.0,0.0,17.67,0.0,23.4,0.0,0.0,11.89
2023-03-10,3.63,2.43,17.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.89
2023-03-11,3.3,2.43,16.1,0.0,0.0,0.0,0.0,27.6,0.0,0.0,11.89
2023-03-12,3.9,2.61,15.12,0.0,0.0,23.32,0.0,43.45,0.0,0.0,0.0
2023-03-13,3.2,2.7,16.38,0.0,0.0,0.0,0.0,27.65,0.0,0.0,8.74
2023-03-14,2.9,2.79,15.96,0.0,0.0,0.0,0.0,32.39,0.0,0.0,0.0
2023-03-15,3.2,1.98,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.43
2023-03-16,3.3,2.34,13.44,0.0,0.0,23.85,0.0,0.0,0.0,0.0,0.0
2023-03-17,2.5,2.43,12.39,0.0,0.0,0.0,0.0,48.98,0.0,0.0,0.0
2023-03-18,3.7,2.43,12.6,0.0,0.0,18.02,0.0,68.73,0.0,0.0,0.0
2023-03-19,3.4,3.2,14.49,0.0,0.0,29.16,0.0,80.96,0.0,0.0,15.36
2023-03-20,2.8,3.3,20.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-21,3.1,2.3,16.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-22,3.3,3.5,16.79,0.0,0.0,0.0,0.0,51.92,0.0,0.0,0.0
2023-03-23,3.4,2.4,17.02,0.0,0.0,16.2,0.0,0.0,0.0,0.0,0.0
2023-03-24,3.0,2.2,12.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-25,3.9,3.8,16.79,0.0,0.0,0.0,0.0,57.2,0.0,0.0,9.6
2023-03-26,3.7,2.56,14.08,0.0,0.0,0.0,0.0,48.96,0.0,0.0,14.0
2023-03-27,3.0,2.0,17.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-28,3.8,2.0,18.7,0.0,0.0,0.0,0.0,30.96,0.0,0.0,0.0
2023-03-29,3.6,2.56,15.4,0.0,0.0,0.0,0.0,27.36,0.0,0.0,10.5
2023-03-30,2.4,1.6,14.3,0.0,0.0,0.0,0.0,29.52,0.0,0.0,0.0
2023-03-31,3.9,1.76,14.96,0.0,0.0,22.05,0.0,0.0,0.0,0.0,13.25
2023-04-01,3.8,2.24,14.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.75
2023-04-02,3.74,3.4,13.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-03,3.96,3.2,18.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-04,4.4,2.1,15.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.26
2023-04-05,3.85,2.7,14.74,0.0,0.0,0.0,0.0,29.12,0.0,0.0,14.82
2023-04-06,4.51,2.5,16.28,0.0,0.0,18.55,0.0,0.0,0.0,0.0,0.0
2023-04-07,3.19,3.5,16.06,0.0,0.0,19.61,0.0,0.0,0.0,0.0,0.0
2023-04-08,3.74,3.1,13.64,0.0,0.0,0.0,0.0,0.0,0.0,3.42,0.0
2023-04-09,3.7,1.92,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-10,4.2,2.0,15.8,0.0,0.0,19.8,0.0,0.0,0.0,0.0,14.85
2023-04-11,3.2,2.4,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.49
2023-04-12,2.8,1.92,13.2,0.0,0.0,0.0,0.0,25.2,0.0,0.0,0.0
2023-04-13,2.5,2.0,12.0,0.0,0.0,17.6,0.0,0.0,0.0,0.0,17.16
2023-04-14,3.3,1.44,11.0,0.0,0.0,0.0,0.0,0.0,0.0,5.59,19.47
2023-04-15,2.5,2.0,10.4,0.0,0.0,17.6,0.0,0.0,0.0,0.0,13.2
2023-04-16,3.3,2.48,11.97,0.0,0.0,0.0,0.0,37.8,0.0,0.0,0.0
2023-04-17,2.2,2.64,17.01,0.0,0.0,14.4,0.0,22.68,0.0,0.0,0.0
2023-04-18,3.9,2.24,13.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.25
2023-04-19,2.9,1.6,14.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
2023-04-20,3.7,1.52,15.12,0.0,0.0,16.8,0.0,0.0,0.0,0.0,10.75
2023-04-21,3.5,1.84,13.44,0.0,0.0,14.88,0.0,0.0,0.0,0.0,0.0
2023-04-22,2.8,2.0,11.13,0.0,0.0,17.28,0.0,0.0,0.0,0.0,0.0
