Year,Month,Day,Count
2023,1,1,"2,246"
2023,1,2,"3,633"
2023,1,3,"2,982"
2023,1,4,"2,694"
2023,1,5,"3,512"
2023,1,6,"3,035"
2023,1,7,"2,773"
2023,1,8,"2,912"
2023,1,9,"3,806"
2023,1,10,"3,239"
2023,1,11,"2,702"
2023,1,12,"4,378"
2023,1,13,"3,321"
2023,1,14,"2,937"
2023,1,15,"3,183"
2023,1,16,"4,009"
2023,1,17,"3,253"
2023,1,18,"3,746"
2023,1,19,"3,973"
2023,1,20,"3,506"
2023,1,21,"3,126"
2023,1,22,"3,036"
2023,1,23,"3,995"
2023,1,24,"3,146"
2023,1,25,"2,973"
2023,1,26,"3,879"
2023,1,27,"3,451"
2023,1,28,"2,880"
2023,1,29,"3,130"
2023,1,30,"3,915"
2023,1,31,"3,174"
2023,2,1,"3,121"
2023,2,2,"3,940"
2023,2,3,"4,073"
2023,2,4,"3,313"
2023,2,5,"3,594"
2023,2,6,"4,638"
2023,2,7,"3,827"
2023,2,8,"3,688"
2023,2,9,"4,591"
2023,2,10,"4,722"
2023,2,11,"3,684"
2023,2,12,"3,546"
2023,2,13,"4,510"
2023,2,14,"3,438"
2023,2,15,"3,359"
2023,2,16,"4,377"
2023,2,17,"4,334"
2023,2,18,"3,407"
2023,2,19,"3,559"
2023,2,20,"4,619"
2023,2,21,"3,231"
2023,2,22,"3,542"
2023,2,23,"4,630"
2023,2,24,"3,988"
2023,2,25,"3,732"
2023,2,26,"3,073"
2023,2,27,"4,041"
2023,2,28,"3,062"
2023,3,1,"4,035"
2023,3,2,"4,015"
2023,3,3,"4,806"
2023,3,4,"3,687"
2023,3,5,"3,347"
2023,3,6,"4,473"
2023,3,7,"3,210"
2023,3,8,"3,513"
2023,3,9,"3,956"
2023,3,10,"4,338"
2023,3,11,"5,846"
2023,3,12,"3,203"
2023,3,13,"5,409"
2023,3,14,"3,199"
2023,3,15,"3,845"
2023,3,16,"4,404"
2023,3,17,"3,764"
2023,3,18,"3,575"
2023,3,19,"3,620"
2023,3,20,"5,081"
2023,3,21,"3,257"
2023,3,22,"3,703"
2023,3,23,"3,780"
2023,3,24,"4,713"
2023,3,25,"4,564"
2023,3,26,"4,369"
2023,3,27,"4,353"
2023,3,28,"2,925"
2023,3,29,"3,627"
2023,3,30,"4,274"
2023,3,31,"4,604"
2023,4,1,"4,238"
2023,4,2,"3,695"
2023,4,3,"4,548"
2023,4,4,"3,260"
2023,4,5,"3,211"
2023,4,6,"4,071"
2023,4,7,"3,888"
2023,4,8,"3,158"
2023,4,9,"2,425"
2023,4,10,"3,550"
2023,4,11,"2,271"
2023,4,12,"4,542"
2023,4,13,"4,609"
2023,4,14,"3,807"
2023,4,15,"2,888"
2023,4,16,"2,240"
2023,4,17,"3,344"
2023,4,18,"2,634"
2023,4,19,"3,545"
2023,4,20,"3,874"
2023,4,21,"3,981"
2023,4,22,"3,545"
2023,4,23,"3,025"
2023,4,24,"3,742"
2023,4,25,"3,227"
2023,4,26,"2,796"
2023,4,27,"3,052"
2023,4,28,"5,268"
2023,4,29,"3,320"
2023,4,30,"3,744"
2023,5,1,"3,483"
2023,5,2,"2,513"
2023,5,3,"2,062"
2023,5,4,"2,305"
2023,5,5,"3,436"
2023,5,6,"2,491"
2023,5,7,"2,111"
2023,5,8,"3,001"
2023,5,9,"3,251"
2023,5,10,"1,916"
2023,5,11,"2,262"
2023,5,12,"2,789"
2023,5,13,"2,340"
2023,5,14,"2,140"
2023,5,15,"2,867"
2023,5,16,"2,374"
2023,5,17,"2,068"
2023,5,18,"3,088"
2023,5,19,"5,563"
2023,5,20,"2,793"
2023,5,21,"2,277"
2023,5,22,"2,970"
2023,5,23,"2,366"
2023,5,24,"2,057"
2023,5,25,"2,668"
2023,5,26,"3,458"
2023,5,27,"2,789"
2023,5,28,"2,319"
2023,5,29,"2,908"
2023,5,30,"2,624"
2023,5,31,"2,020"
2023,6,1,"2,752"
2023,6,2,"3,256"
2023,6,3,"2,662"
2023,6,4,"2,282"
2023,6,5,"3,259"
2023,6,6,"2,348"
2023,6,7,"3,097"
2023,6,8,"2,544"
2023,6,9,"3,512"
2023,6,10,"3,079"
2023,6,11,"3,118"
2023,6,12,"3,017"
2023,6,13,"2,452"
2023,6,14,"2,819"
2023,6,15,"2,785"
2023,6,16,"3,866"
2023,6,17,"3,085"
2023,6,18,"2,731"
2023,6,19,"3,617"
2023,6,20,"4,902"
2023,6,21,"3,360"
2023,6,22,"3,503"
2023,6,23,"4,231"
2023,6,24,"4,277"
2023,6,25,"3,346"
2023,6,26,"4,103"
2023,6,27,"3,907"
2023,6,28,"4,169"
2023,6,29,"4,054"
2023,6,30,"4,255"
2023,7,1,"3,927"
2023,7,2,"3,363"
2023,7,3,"4,374"
2023,7,4,"3,450"
2023,7,5,"3,506"
2023,7,6,"3,465"
2023,7,7,"3,101"
2023,7,8,"4,019"
2023,7,9,"3,806"
2023,7,10,"4,321"
2023,7,11,"3,465"
2023,7,12,"4,015"
2023,7,13,"4,286"
2023,7,14,"5,044"
2023,7,15,"4,965"
2023,7,16,"5,465"
2023,7,17,"5,011"
2023,7,18,"4,321"
2023,7,19,"5,123"
2023,7,20,"5,165"
2023,7,21,"5,469"
2023,7,22,"5,042"
2023,7,23,"4,321"
2023,7,24,"4,569"
2023,7,25,"4,320"
2023,7,26,"4,321"
2023,7,27,"4,569"
2023,7,28,"5,132"
2023,7,29,"5,465"
2023,7,30,"5,862"
2023,7,31,"4,831"
2023,8,1,"5,005"
2023,8,2,"5,528"
2023,8,3,"5,041"
2023,8,4,"5,232"
2023,8,5,"5,841"
2023,8,6,"5,312"
2023,8,7,"6,108"
2023,8,8,"5,133"
2023,8,9,"5,521"
2023,8,10,"8,695"
2023,8,11,"5,496"
2023,8,12,"4,646"
2023,8,13,"6,056"
2023,8,14,"7,321"
2023,8,15,"6,504"
2023,8,16,"6,692"
2023,8,17,"7,133"
2023,8,18,"6,705"
2023,8,19,"5,808"
2023,8,20,"6,898"
2023,8,21,"7,381"
2023,8,22,"8,437"
2023,8,23,"9,862"
2023,8,24,"8,421"
2023,8,25,"9,142"
2023,8,26,"7,963"
2023,8,27,"9,335"
2023,8,28,"8,396"
2023,8,29,"7,479"
2023,8,30,"7,408"
2023,8,31,"5,860"
2023,9,1,"4,054"
2023,9,2,"3,972"
2023,9,3,"3,565"
2023,9,4,"4,463"
2023,9,5,"3,327"
2023,9,6,"3,115"
2023,9,7,"3,849"
2023,9,8,"3,693"
2023,9,9,"3,369"
2023,9,10,"4,404"
2023,9,11,"5,024"
2023,9,12,"4,859"
2023,9,13,"4,189"
2023,9,14,"4,565"
2023,9,15,"3,573"
2023,9,16,"3,352"
2023,9,17,"4,385"
2023,9,18,"5,396"
2023,9,19,"5,166"
2023,9,20,"4,046"
2023,9,21,"4,833"
2023,9,22,"4,081"
2023,9,23,"3,871"
2023,9,24,"4,213"
2023,9,25,"5,556"
2023,9,26,"4,800"
2023,9,27,"3,951"
2023,9,28,"4,604"
2023,9,29,"4,174"
2023,9,30,"4,876"
2023,10,1,"3,497"
2023,10,2,"3,711"
2023,10,3,"3,151"
2023,10,4,"2,675"
2023,10,5,"3,376"
2023,10,6,"3,695"
2023,10,7,"2,968"
2023,10,8,"3,199"
2023,10,9,"3,451"
2023,10,10,"3,030"
2023,10,11,"2,209"
2023,10,12,"3,305"
2023,10,13,"4,286"
2023,10,14,"3,954"
2023,10,15,"3,888"
2023,10,16,"4,079"
2023,10,17,"3,095"
2023,10,18,"2,812"
2023,10,19,"3,936"
2023,10,20,"5,101"
2023,10,21,"4,433"
2023,10,22,"3,912"
2023,10,23,"3,787"
2023,10,24,"3,340"
2023,10,25,"3,036"
2023,10,26,"3,823"
2023,10,27,"4,257"
2023,10,28,"3,391"
2023,10,29,"3,026"
2023,10,30,"3,207"
2023,10,31,"3,569"
2023,11,1,"4,564"
2023,11,2,"4,292"
2023,11,3,"4,465"
2023,11,4,"4,408"
2023,11,5,"4,473"
2023,11,6,"4,300"
2023,11,7,"3,892"
2023,11,8,"4,163"
2023,11,9,"6,496"
2023,11,10,"4,361"
2023,11,11,"5,086"
2023,11,12,"4,995"
2023,11,13,"7,520"
2023,11,14,"6,390"
2023,11,15,"5,259"
2023,11,16,"5,304"
2023,11,17,"5,129"
2023,11,18,"5,748"
2023,11,19,"5,484"
2023,11,20,"7,065"
2023,11,21,"4,578"
2023,11,22,"4,939"
2023,11,23,"4,687"
2023,11,24,"5,064"
2023,11,25,"5,128"
2023,11,26,"4,941"
2023,11,27,"4,972"
2023,11,28,"3,795"
2023,11,29,"5,316"
2023,11,30,"4,682"
2023,12,1,"4,972"
2023,12,2,"5,521"
2023,12,3,"5,048"
2023,12,4,"5,235"
2023,12,5,"5,851"
2023,12,6,"5,311"
2023,12,7,"6,108"
2023,12,8,"5,132"
2023,12,9,"5,520"
2023,12,10,"8,696"
2023,12,11,"5,494"
2023,12,12,"4,648"
2023,12,13,"6,054"
2023,12,14,"7,329"
2023,12,15,"6,504"
2023,12,16,"6,695"
2023,12,17,"7,132"
2023,12,18,"6,703"
2023,12,19,"5,809"
2023,12,20,"6,899"
2023,12,21,"7,386"
2023,12,22,"8,437"
2023,12,23,"9,864"
2023,12,24,"8,423"
2023,12,25,"9,141"
2023,12,26,"7,962"
2023,12,27,"9,336"
2023,12,28,"8,395"
2023,12,29,"7,478"
2023,12,30,"7,409"
