Price,USD_LKR_Rate
Ticker,USDLKR=X
Date,
2023-01-02,364.2508544921875
2023-01-03,362.2666931152344
2023-01-04,362.1963806152344
2023-01-05,362.3021240234375
2023-01-06,362.4048767089844
2023-01-09,362.4948425292969
2023-01-10,364.1459045410156
2023-01-11,364.431640625
2023-01-12,363.4314880371094
2023-01-13,364.2546081542969
2023-01-16,361.54241943359375
2023-01-17,362.78082275390625
2023-01-18,364.5887145996094
2023-01-19,360.5257873535156
2023-01-20,363.7694091796875
2023-01-23,362.72320556640625
2023-01-24,361.0307312011719
2023-01-25,360.7957763671875
2023-01-26,360.75543212890625
2023-01-27,361.1924743652344
2023-01-30,360.9603271484375
2023-01-31,362.6981506347656
2023-02-01,364.2533264160156
2023-02-02,362.75689697265625
2023-02-03,362.8015441894531
2023-02-06,365.1622009277344
2023-02-07,361.8731689453125
2023-02-08,362.1409912109375
2023-02-09,362.0829772949219
2023-02-10,361.94061279296875
2023-02-13,361.59344482421875
2023-02-14,361.75384521484375
2023-02-15,361.677001953125
2023-02-16,362.57196044921875
2023-02-17,361.7205810546875
2023-02-20,360.1639404296875
2023-02-21,358.718017578125
2023-02-22,361.9963073730469
2023-02-23,361.6292419433594
2023-02-24,361.629638671875
2023-02-27,361.48333740234375
2023-02-28,359.67791748046875
2023-03-01,358.6318359375
2023-03-02,354.6932678222656
2023-03-03,342.75927734375
2023-03-06,336.28997802734375
2023-03-07,330.4106750488281
2023-03-08,321.6394958496094
2023-03-09,326.6334228515625
2023-03-10,321.8226623535156
2023-03-13,320.142822265625
2023-03-14,327.0154113769531
2023-03-15,336.60394287109375
2023-03-16,334.5929260253906
2023-03-17,338.8475646972656
2023-03-20,331.02362060546875
2023-03-21,341.74041748046875
2023-03-22,319.7699279785156
2023-03-23,319.2768249511719
2023-03-24,316.428955078125
2023-03-27,320.0570373535156
2023-03-28,321.6457214355469
2023-03-29,321.3175354003906
2023-03-30,321.56060791015625
2023-03-31,326.8398132324219
2023-04-03,328.9999084472656
2023-04-04,319.9561767578125
2023-04-05,318.2304992675781
2023-04-06,319.4075927734375
2023-04-07,316.89459228515625
2023-04-10,314.3559875488281
2023-04-11,316.92510986328125
2023-04-12,316.4619445800781
2023-04-13,318.8891296386719
2023-04-14,319.80572509765625
2023-04-17,318.5285339355469
2023-04-18,322.1989440917969
2023-04-19,318.9742431640625
2023-04-20,317.9090270996094
2023-04-21,318.7860412597656
2023-04-24,319.6634521484375
2023-04-25,318.8543395996094
2023-04-26,321.8205261230469
2023-04-27,319.0408020019531
2023-04-28,318.8443908691406
2023-05-01,313.0587158203125
2023-05-02,316.5986022949219
2023-05-03,313.4156188964844
2023-05-04,316.53302001953125
2023-05-05,316.2775573730469
2023-05-08,316.8464050292969
2023-05-09,315.854736328125
2023-05-10,314.83489990234375
2023-05-11,313.5413513183594
2023-05-12,308.72998046875
2023-05-15,309.33770751953125
2023-05-16,309.8764953613281
2023-05-17,306.4969787597656
2023-05-18,301.4252624511719
2023-05-19,304.3584899902344
2023-05-22,302.9611511230469
2023-05-23,302.8930358886719
2023-05-24,301.5164794921875
2023-05-25,300.3669128417969
2023-05-26,299.0420837402344
2023-05-29,294.78955078125
2023-05-30,293.6785583496094
2023-05-31,290.70770263671875
2023-06-01,285.46148681640625
2023-06-02,291.6256408691406
2023-06-05,288.07159423828125
2023-06-06,287.2279357910156
2023-06-07,289.45880126953125
2023-06-08,288.6302795410156
2023-06-09,292.2322082519531
2023-06-12,293.6510009765625
2023-06-13,297.818603515625
2023-06-14,304.4189147949219
2023-06-15,316.8031005859375
2023-06-16,303.9920959472656
2023-06-19,306.2331848144531
2023-06-20,303.7633972167969
2023-06-21,304.7806396484375
2023-06-22,304.7850036621094
2023-06-23,304.0965576171875
2023-06-26,302.91253662109375
2023-06-27,305.9827880859375
2023-06-28,305.9168395996094
2023-06-29,303.98846435546875
2023-06-30,303.9987487792969
2023-07-03,302.8333435058594
2023-07-04,304.48858642578125
2023-07-05,302.9270935058594
2023-07-06,304.6958312988281
2023-07-07,307.84637451171875
2023-07-10,306.4085693359375
2023-07-11,309.87200927734375
2023-07-12,310.4212341308594
2023-07-13,309.8830871582031
2023-07-14,314.8168029785156
2023-07-17,316.6022033691406
2023-07-18,319.2826232910156
2023-07-19,320.5111083984375
2023-07-20,322.4727783203125
2023-07-21,323.1795654296875
2023-07-24,324.9135437011719
2023-07-25,328.1539306640625
2023-07-26,328.9679870605469
2023-07-27,327.5120544433594
2023-07-28,327.4549560546875
2023-07-31,325.57421875
2023-08-01,317.0429992675781
2023-08-02,315.94097900390625
2023-08-03,312.2506103515625
2023-08-04,316.6631774902344
2023-08-07,315.7784729003906
2023-08-08,320.6339111328125
2023-08-09,317.72918701171875
2023-08-10,315.9002380371094
2023-08-11,316.5941162109375
2023-08-14,319.03179931640625
2023-08-15,318.9852600097656
2023-08-16,318.34271240234375
2023-08-17,317.86224365234375
2023-08-18,317.86224365234375
2023-08-21,318.9276123046875
2023-08-22,321.5888671875
2023-08-23,321.03277587890625
2023-08-24,320.7445983886719
2023-08-25,321.265380859375
2023-08-28,320.95587158203125
2023-08-29,320.489501953125
2023-08-30,318.2118835449219
2023-08-31,318.5418701171875
2023-09-01,317.81683349609375
2023-09-04,318.2125549316406
2023-09-05,316.98077392578125
2023-09-06,320.253662109375
2023-09-07,319.5179748535156
2023-09-08,319.65264892578125
2023-09-11,319.1020812988281
2023-09-12,319.2765197753906
2023-09-13,320.0653381347656
2023-09-14,320.33648681640625
2023-09-15,320.2201843261719
2023-09-18,319.3891296386719
2023-09-19,320.32879638671875
2023-09-20,320.63067626953125
2023-09-21,321.9031066894531
2023-09-22,322.6855163574219
2023-09-25,319.8294982910156
2023-09-26,322.3281555175781
2023-09-27,320.7629089355469
2023-09-28,320.8809814453125
2023-09-29,321.0047607421875
2023-10-02,321.6454772949219
2023-10-03,321.3700866699219
2023-10-04,320.71624755859375
2023-10-05,320.86248779296875
2023-10-06,319.54913330078125
2023-10-09,319.358642578125
2023-10-10,320.3631286621094
2023-10-11,320.8773498535156
2023-10-12,321.2569274902344
2023-10-13,320.4780578613281
2023-10-16,320.8255920410156
2023-10-17,321.0314025878906
2023-10-18,320.77374267578125
2023-10-19,321.4642639160156
2023-10-20,321.580322265625
2023-10-23,321.6181945800781
2023-10-24,322.5888671875
2023-10-25,324.242919921875
2023-10-26,323.4812927246094
2023-10-27,323.7330627441406
2023-10-30,323.2288818359375
2023-10-31,323.9674072265625
2023-11-01,324.656005859375
2023-11-02,324.549560546875
2023-11-03,325.39910888671875
2023-11-06,323.055419921875
2023-11-07,323.7895812988281
2023-11-08,323.9144592285156
2023-11-09,325.6844787597656
2023-11-10,324.2117919921875
2023-11-13,323.0740661621094
2023-11-14,323.996826171875
2023-11-15,324.51055908203125
2023-11-16,325.8169860839844
2023-11-17,325.2241516113281
2023-11-20,323.2199401855469
2023-11-21,324.3384094238281
2023-11-22,325.2441711425781
2023-11-23,325.3206481933594
2023-11-24,325.7577209472656
2023-11-27,324.3230895996094
2023-11-28,326.1188049316406
2023-11-29,326.0918273925781
2023-11-30,326.13543701171875
2023-12-01,324.98992919921875
2023-12-04,325.277099609375
2023-12-05,325.1351013183594
2023-12-06,324.82843017578125
2023-12-07,324.11517333984375
2023-12-08,323.9185485839844
2023-12-11,324.606689453125
2023-12-12,324.2987060546875
2023-12-13,323.7835998535156
2023-12-14,323.2831115722656
2023-12-15,323.4949645996094
2023-12-18,325.57861328125
2023-12-19,323.77801513671875
2023-12-20,323.7882995605469
2023-12-21,323.8963317871094
2023-12-22,321.68450927734375
2023-12-25,322.68902587890625
2023-12-26,322.68902587890625
2023-12-27,322.9059753417969
2023-12-28,320.4774169921875
2023-12-29,322.4024963378906
2024-01-01,321.3423156738281
2024-01-02,321.63323974609375
2024-01-03,318.9188232421875
2024-01-04,319.51763916015625
2024-01-05,319.6883850097656
2024-01-08,319.8081359863281
2024-01-09,319.2978515625
2024-01-10,319.2995300292969
2024-01-11,319.7935485839844
2024-01-12,319.56817626953125
2024-01-15,318.6813049316406
2024-01-16,318.79705810546875
2024-01-17,318.90228271484375
2024-01-18,317.7734069824219
2024-01-19,318.0056457519531
2024-01-22,316.9570007324219
2024-01-23,316.8079528808594
2024-01-24,316.6531677246094
2024-01-25,315.2783508300781
2024-01-26,315.4482727050781
2024-01-29,314.78668212890625
2024-01-30,314.62200927734375
2024-01-31,313.8473815917969
2024-02-01,312.2268981933594
2024-02-02,309.99462890625
2024-02-05,311.631591796875
2024-02-06,309.8089294433594
2024-02-07,310.95806884765625
2024-02-08,310.062255859375
2024-02-09,310.19305419921875
2024-02-12,309.47454833984375
2024-02-13,310.2697448730469
2024-02-14,310.0740051269531
2024-02-15,309.88916015625
2024-02-16,309.525146484375
2024-02-19,309.2646789550781
2024-02-20,309.31585693359375
2024-02-21,308.7010803222656
2024-02-22,308.28778076171875
2024-02-23,307.81634521484375
2024-02-26,307.4147644042969
2024-02-27,307.6271057128906
2024-02-28,307.2461242675781
2024-02-29,306.3331604003906
2024-03-01,306.63250732421875
2024-03-04,304.24249267578125
2024-03-05,304.99102783203125
2024-03-06,304.96209716796875
2024-03-07,304.7013854980469
2024-03-08,302.88299560546875
2024-03-11,303.9605407714844
2024-03-12,303.7703857421875
2024-03-13,303.3799743652344
2024-03-14,302.9001770019531
2024-03-15,302.4441223144531
2024-03-18,302.16693115234375
2024-03-19,302.2466735839844
2024-03-20,300.7511901855469
2024-03-21,300.9513854980469
2024-03-22,300.742431640625
2024-03-25,298.8356628417969
2024-03-26,298.9718933105469
2024-03-27,298.8571472167969
2024-03-28,297.6688232421875
2024-03-29,297.2238464355469
2024-04-01,296.8124694824219
2024-04-02,297.08062744140625
2024-04-03,296.12841796875
2024-04-04,296.2629699707031
2024-04-05,296.2291259765625
2024-04-08,295.645751953125
2024-04-09,294.98553466796875
2024-04-10,295.43865966796875
2024-04-11,295.7692565917969
2024-04-12,295.2425231933594
2024-04-15,294.5233154296875
2024-04-16,295.6766357421875
2024-04-17,296.77880859375
2024-04-18,297.8918762207031
2024-04-19,297.9572448730469
2024-04-22,298.08349609375
2024-04-23,297.4124755859375
2024-04-24,296.6150207519531
2024-04-25,295.0946960449219
2024-04-26,293.764404296875
2024-04-29,293.4635314941406
2024-04-30,294.0902099609375
2024-05-01,293.37548828125
2024-05-02,294.8533630371094
2024-05-03,293.9178161621094
2024-05-06,293.4634094238281
2024-05-07,293.7154541015625
2024-05-08,296.5023498535156
2024-05-09,297.06793212890625
2024-05-10,295.4736022949219
2024-05-13,295.92425537109375
2024-05-14,296.0517883300781
2024-05-15,298.2250671386719
2024-05-16,298.6329345703125
2024-05-17,297.54278564453125
2024-05-20,294.92901611328125
2024-05-21,296.73931884765625
2024-05-22,296.7960510253906
2024-05-23,296.8748474121094
2024-05-24,296.8861083984375
2024-05-27,295.9874572753906
2024-05-28,297.29705810546875
2024-05-29,299.3278503417969
2024-05-30,298.59259033203125
2024-05-31,298.6262512207031
2024-06-03,297.4257507324219
2024-06-04,298.6457824707031
2024-06-05,298.94598388671875
2024-06-06,299.2166442871094
2024-06-07,299.05255126953125
2024-06-10,301.4652099609375
2024-06-11,299.6402893066406
2024-06-12,300.4899597167969
2024-06-13,298.8869934082031
2024-06-14,301.3374328613281
2024-06-17,300.6028747558594
2024-06-18,300.4504089355469
2024-06-19,301.7827453613281
2024-06-20,302.0058288574219
2024-06-21,301.9645080566406
2024-06-24,301.4434509277344
2024-06-25,302.0601806640625
2024-06-26,302.1502990722656
2024-06-27,302.25701904296875
2024-06-28,302.7844543457031
2024-07-01,302.4581298828125
2024-07-02,302.0677795410156
2024-07-03,302.4515380859375
2024-07-04,301.0816650390625
2024-07-05,300.962646484375
2024-07-08,301.7937927246094
2024-07-09,301.3623962402344
2024-07-10,300.98199462890625
2024-07-11,300.4762878417969
2024-07-12,299.7156982421875
2024-07-15,298.4480285644531
2024-07-16,299.4854431152344
2024-07-17,300.2133483886719
2024-07-18,300.4718322753906
2024-07-19,300.8558044433594
2024-07-22,300.3509216308594
2024-07-23,300.9048767089844
2024-07-24,300.4407958984375
2024-07-25,300.40313720703125
2024-07-26,300.23089599609375
2024-07-29,299.82403564453125
2024-07-30,299.56243896484375
2024-07-31,299.172607421875
2024-08-01,299.17364501953125
2024-08-02,299.9736022949219
2024-08-05,295.9849853515625
2024-08-06,297.1773986816406
2024-08-07,299.0422058105469
2024-08-08,298.71563720703125
2024-08-09,297.7728271484375
2024-08-12,296.4905090332031
2024-08-13,296.06134033203125
2024-08-14,295.9217224121094
2024-08-15,296.03118896484375
2024-08-16,296.7965393066406
2024-08-19,294.42254638671875
2024-08-20,295.6462707519531
2024-08-21,295.658203125
2024-08-22,297.44244384765625
2024-08-23,298.2347412109375
2024-08-26,294.3480529785156
2024-08-27,297.77862548828125
2024-08-28,297.20196533203125
2024-08-29,297.47808837890625
2024-08-30,297.7467956542969
2024-09-02,296.4613342285156
2024-09-03,295.7672119140625
2024-09-04,295.8184814453125
2024-09-05,295.000732421875
2024-09-06,295.34869384765625
2024-09-09,295.9484558105469
2024-09-10,297.6759033203125
