Week from;Number of queries;Percentage of total queries, %;Frequency dynamics for «Шри», by week, 26.12.2022 — 04.01.2026, Russia, all devices
26.12.2022;118 156;0,0052;
02.01.2023;158 978;0,0070;
09.01.2023;234 628;0,0088;
16.01.2023;243 492;0,0089;
23.01.2023;241 616;0,0088;
30.01.2023;233 978;0,0086;
06.02.2023;228 843;0,0084;
13.02.2023;196 034;0,0072;
20.02.2023;173 311;0,0068;
27.02.2023;186 025;0,0069;
06.03.2023;175 061;0,0068;
13.03.2023;177 079;0,0066;
20.03.2023;168 755;0,0064;
27.03.2023;156 568;0,0061;
03.04.2023;143 680;0,0055;
10.04.2023;130 109;0,0051;
17.04.2023;126 973;0,0050;
24.04.2023;119 562;0,0048;
01.05.2023;119 860;0,0050;
08.05.2023;109 935;0,0046;
15.05.2023;118 070;0,0048;
22.05.2023;111 377;0,0047;
29.05.2023;110 263;0,0048;
05.06.2023;107 184;0,0047;
12.06.2023;105 872;0,0048;
19.06.2023;96 818;0,0043;
26.06.2023;97 011;0,0044;
03.07.2023;96 588;0,0045;
10.07.2023;98 032;0,0045;
17.07.2023;97 044;0,0045;
24.07.2023;101 954;0,0047;
31.07.2023;98 698;0,0047;
07.08.2023;104 429;0,0048;
14.08.2023;100 923;0,0048;
21.08.2023;97 981;0,0046;
28.08.2023;106 586;0,0051;
04.09.2023;114 521;0,0050;
11.09.2023;116 124;0,0049;
18.09.2023;119 508;0,0049;
25.09.2023;130 596;0,0053;
02.10.2023;145 038;0,0058;
09.10.2023;162 533;0,0064;
16.10.2023;172 119;0,0066;
23.10.2023;236 861;0,0093;
30.10.2023;195 121;0,0082;
06.11.2023;230 016;0,0092;
13.11.2023;236 463;0,0091;
20.11.2023;221 581;0,0084;
27.11.2023;280 946;0,0106;
04.12.2023;199 173;0,0074;
11.12.2023;183 779;0,0070;
18.12.2023;172 137;0,0067;
25.12.2023;145 651;0,0065;
01.01.2024;184 364;0,0084;
08.01.2024;269 697;0,0106;
15.01.2024;271 894;0,0102;
22.01.2024;248 494;0,0093;
29.01.2024;223 965;0,0086;
05.02.2024;200 854;0,0079;
12.02.2024;232 375;0,0092;
19.02.2024;191 074;0,0079;
26.02.2024;187 168;0,0069;
04.03.2024;164 778;0,0065;
11.03.2024;157 539;0,0064;
18.03.2024;143 297;0,0058;
25.03.2024;139 468;0,0060;
01.04.2024;140 503;0,0058;
08.04.2024;122 367;0,0051;
15.04.2024;116 513;0,0048;
22.04.2024;112 842;0,0047;
29.04.2024;96 754;0,0045;
06.05.2024;89 528;0,0040;
13.05.2024;98 599;0,0042;
20.05.2024;84 292;0,0038;
27.05.2024;87 973;0,0041;
03.06.2024;89 217;0,0042;
10.06.2024;79 338;0,0039;
17.06.2024;81 856;0,0039;
24.06.2024;96 235;0,0048;
01.07.2024;81 737;0,0042;
08.07.2024;86 429;0,0045;
15.07.2024;87 426;0,0045;
22.07.2024;93 708;0,0048;
29.07.2024;95 886;0,0048;
05.08.2024;90 956;0,0045;
12.08.2024;86 980;0,0045;
19.08.2024;128 661;0,0066;
26.08.2024;99 423;0,0050;
02.09.2024;115 458;0,0058;
09.09.2024;109 880;0,0051;
16.09.2024;119 122;0,0053;
23.09.2024;131 329;0,0057;
30.09.2024;164 819;0,0071;
07.10.2024;170 196;0,0070;
14.10.2024;157 901;0,0069;
21.10.2024;192 411;0,0080;
28.10.2024;191 960;0,0082;
04.11.2024;196 372;0,0079;
11.11.2024;214 436;0,0083;
18.11.2024;209 854;0,0084;
25.11.2024;217 359;0,0081;
02.12.2024;199 427;0,0077;
09.12.2024;188 919;0,0073;
16.12.2024;179 822;0,0067;
23.12.2024;173 642;0,0069;
30.12.2024;151 385;0,0076;
06.01.2025;224 899;0,0097;
13.01.2025;278 929;0,0107;
20.01.2025;259 283;0,0097;
27.01.2025;238 394;0,0089;
03.02.2025;223 829;0,0083;
10.02.2025;215 989;0,0081;
17.02.2025;220 859;0,0084;
24.02.2025;200 019;0,0077;
03.03.2025;168 649;0,0067;
10.03.2025;178 662;0,0069;
17.03.2025;174 690;0,0068;
24.03.2025;160 752;0,0066;
31.03.2025;141 334;0,0056;
07.04.2025;125 469;0,0050;
14.04.2025;101 160;0,0041;
21.04.2025;98 123;0,0040;
28.04.2025;89 852;0,0040;
05.05.2025;84 579;0,0038;
12.05.2025;88 834;0,0037;
19.05.2025;78 497;0,0035;
26.05.2025;78 325;0,0036;
02.06.2025;71 328;0,0033;
09.06.2025;74 246;0,0033;
16.06.2025;79 002;0,0034;
23.06.2025;81 262;0,0035;
30.06.2025;85 147;0,0038;
07.07.2025;91 238;0,0041;
14.07.2025;96 888;0,0044;
21.07.2025;92 626;0,0042;
28.07.2025;93 519;0,0042;
04.08.2025;95 715;0,0043;
11.08.2025;94 941;0,0043;
18.08.2025;98 340;0,0045;
25.08.2025;99 137;0,0045;
01.09.2025;101 713;0,0044;
08.09.2025;106 535;0,0044;
15.09.2025;124 307;0,0051;
22.09.2025;137 276;0,0055;
29.09.2025;152 403;0,0062;
06.10.2025;165 395;0,0066;
13.10.2025;175 518;0,0067;
20.10.2025;181 045;0,0070;
27.10.2025;185 725;0,0075;
03.11.2025;198 778;0,0080;
10.11.2025;203 688;0,0079;
17.11.2025;209 549;0,0080;
24.11.2025;250 314;0,0094;
01.12.2025;240 910;0,0091;
08.12.2025;181 771;0,0070;
15.12.2025;166 548;0,0067;
22.12.2025;139 622;0,0061;
29.12.2025;124 377;0,0065;
