Week from;Number of queries;Percentage of total queries, %;Frequency dynamics for «авиабилеты Коломбо», by week, 26.12.2022 — 04.01.2026, Russia, all devices
26.12.2022;501;0,000022;
02.01.2023;795;0,000035;
09.01.2023;915;0,000034;
16.01.2023;830;0,000030;
23.01.2023;876;0,000032;
30.01.2023;931;0,000034;
06.02.2023;818;0,000030;
13.02.2023;684;0,000025;
20.02.2023;600;0,000023;
27.02.2023;687;0,000025;
06.03.2023;681;0,000026;
13.03.2023;712;0,000026;
20.03.2023;682;0,000026;
27.03.2023;604;0,000023;
03.04.2023;530;0,000020;
10.04.2023;427;0,000016;
17.04.2023;462;0,000018;
24.04.2023;395;0,000015;
01.05.2023;405;0,000017;
08.05.2023;362;0,000015;
15.05.2023;447;0,000018;
22.05.2023;463;0,000019;
29.05.2023;496;0,000021;
05.06.2023;459;0,000020;
12.06.2023;375;0,000017;
19.06.2023;345;0,000015;
26.06.2023;332;0,000015;
03.07.2023;388;0,000018;
10.07.2023;389;0,000018;
17.07.2023;384;0,000018;
24.07.2023;461;0,000021;
31.07.2023;429;0,000020;
07.08.2023;470;0,000022;
14.08.2023;442;0,000021;
21.08.2023;453;0,000021;
28.08.2023;438;0,000021;
04.09.2023;491;0,000021;
11.09.2023;450;0,000019;
18.09.2023;552;0,000022;
25.09.2023;584;0,000023;
02.10.2023;587;0,000023;
09.10.2023;635;0,000025;
16.10.2023;622;0,000024;
23.10.2023;722;0,000028;
30.10.2023;688;0,000028;
06.11.2023;718;0,000028;
13.11.2023;728;0,000028;
20.11.2023;712;0,000027;
27.11.2023;852;0,000032;
04.12.2023;618;0,000023;
11.12.2023;594;0,000022;
18.12.2023;575;0,000022;
25.12.2023;574;0,000025;
01.01.2024;712;0,000032;
08.01.2024;926;0,000036;
15.01.2024;925;0,000034;
22.01.2024;898;0,000033;
29.01.2024;835;0,000032;
05.02.2024;724;0,000028;
12.02.2024;671;0,000026;
19.02.2024;625;0,000025;
26.02.2024;543;0,000020;
04.03.2024;483;0,000019;
11.03.2024;444;0,000018;
18.03.2024;366;0,000015;
25.03.2024;355;0,000015;
01.04.2024;376;0,000015;
08.04.2024;367;0,000015;
15.04.2024;336;0,000014;
22.04.2024;347;0,000014;
29.04.2024;321;0,000015;
06.05.2024;339;0,000015;
13.05.2024;445;0,000019;
20.05.2024;346;0,000015;
27.05.2024;369;0,000017;
03.06.2024;347;0,000016;
10.06.2024;290;0,000014;
17.06.2024;292;0,000014;
24.06.2024;373;0,000018;
01.07.2024;270;0,000013;
08.07.2024;305;0,000016;
15.07.2024;313;0,000016;
22.07.2024;395;0,000020;
29.07.2024;394;0,000020;
05.08.2024;353;0,000017;
12.08.2024;275;0,000014;
19.08.2024;379;0,000019;
26.08.2024;417;0,000021;
02.09.2024;400;0,000020;
09.09.2024;427;0,000020;
16.09.2024;452;0,000020;
23.09.2024;539;0,000023;
30.09.2024;554;0,000023;
07.10.2024;566;0,000023;
14.10.2024;485;0,000021;
21.10.2024;541;0,000022;
28.10.2024;584;0,000025;
04.11.2024;713;0,000028;
11.11.2024;757;0,000029;
18.11.2024;724;0,000029;
25.11.2024;728;0,000027;
02.12.2024;613;0,000023;
09.12.2024;532;0,000020;
16.12.2024;504;0,000018;
23.12.2024;488;0,000019;
30.12.2024;465;0,000023;
06.01.2025;727;0,000031;
13.01.2025;754;0,000029;
20.01.2025;757;0,000028;
27.01.2025;635;0,000023;
03.02.2025;641;0,000023;
10.02.2025;530;0,000019;
17.02.2025;567;0,000021;
24.02.2025;534;0,000020;
03.03.2025;424;0,000016;
10.03.2025;634;0,000024;
17.03.2025;620;0,000024;
24.03.2025;622;0,000025;
31.03.2025;467;0,000018;
07.04.2025;347;0,000013;
14.04.2025;320;0,000013;
21.04.2025;335;0,000013;
28.04.2025;309;0,000013;
05.05.2025;455;0,000020;
12.05.2025;270;0,000011;
19.05.2025;276;0,000012;
26.05.2025;277;0,000012;
02.06.2025;252;0,000011;
09.06.2025;260;0,000011;
16.06.2025;325;0,000014;
23.06.2025;253;0,000011;
30.06.2025;292;0,000013;
07.07.2025;305;0,000013;
14.07.2025;426;0,000019;
21.07.2025;369;0,000016;
28.07.2025;366;0,000016;
04.08.2025;395;0,000017;
11.08.2025;384;0,000017;
18.08.2025;416;0,000019;
25.08.2025;433;0,000019;
01.09.2025;471;0,000020;
08.09.2025;582;0,000024;
15.09.2025;554;0,000022;
22.09.2025;520;0,000021;
29.09.2025;588;0,000024;
06.10.2025;640;0,000025;
13.10.2025;625;0,000024;
20.10.2025;727;0,000028;
27.10.2025;610;0,000024;
03.11.2025;666;0,000026;
10.11.2025;625;0,000024;
17.11.2025;628;0,000024;
24.11.2025;494;0,000018;
01.12.2025;471;0,000017;
08.12.2025;494;0,000019;
15.12.2025;484;0,000019;
22.12.2025;412;0,000018;
29.12.2025;378;0,000019;
